particles,area,area_convex,axis_major_length,axis_minor_length,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,ECD,orientation,perimeter,largest_dimension,smallest_dim_area,Aspect Ratio,area_ratio,intermetallic,orientation_deg
16,0.2892561983471074,0.3450413223140496,0.9876546471188937,0.3927122345148243,1012.0,2954.0,1031.0,2969.0,1020.6642857142857,2961.0071428571428,0.6068710161931405,0.7082905915367359,2.5161517754239715,0.9588646868058631,0.30166529472544,2.5149576720956763,0.8383233532934131,2.0,49.41793843612053
17,21.425619834710744,47.77479338842975,15.48340787954341,4.07908867241856,1032.0,7641.0,1355.0,7841.0,1131.5746383799421,7732.08862102218,5.223020815966157,0.5121717215270991,47.4784090619217,15.747556546654552,1.3605678932623013,3.795800759183555,0.44847121913246557,1.0,60.65472197054753
18,0.026859504132231406,0.030991735537190084,0.3415223955280042,0.1025087071611467,1076.0,11839.0,1083.0,11842.0,1078.4615384615386,11840.307692307691,0.18492858841491905,0.2540863089176651,0.4827872883436201,0.2874797872880345,0.09343093086861119,3.331642793925017,0.8666666666666667,2.0,75.44192686696054
19,0.9359504132231405,1.427685950413223,2.9542870736819324,0.49801212575760495,1121.0,12220.0,1183.0,12241.0,1153.626931567329,12231.35761589404,1.091645124583497,0.2357876701766565,7.316059945717002,2.8448154960579726,0.3290021495313408,5.932158919198402,0.6555716353111434,2.0,76.49036163765491
20,0.16942148760330578,0.1962809917355372,0.7809798455972636,0.2941885437508146,1133.0,10621.0,1150.0,10628.0,1140.9268292682927,10624.219512195123,0.4644503609045719,0.06435394972881832,1.9798340539138202,0.7399463907318048,0.2289645435472,2.6546915649399794,0.863157894736842,2.0,86.31279028554164
21,14.74586776859504,23.632231404958677,10.526332358531858,2.506254226442875,1138.0,2278.0,1271.0,2459.0,1212.1459997197703,2375.657699313437,4.33301534320049,-0.9615925756613859,26.74407383678183,9.18856637708602,1.604806143139754,4.200025778498886,0.6239727225039342,2.0,34.9048038034883
22,1.4235537190082646,1.537190082644628,2.0120713689658913,0.919257294498114,1225.0,12248.0,1267.0,12271.0,1246.545718432511,12258.258345428158,1.3463004453301388,0.20001477327018222,5.121320343559642,1.969289002039497,0.7228769964865284,2.188801090846301,0.9260752688172044,2.0,78.5399976513525
23,36.921487603305785,358.5413223140496,51.69712676806625,12.166791798201318,1320.0,5136.0,1888.0,6000.0,1449.7671516508115,5567.714829322887,6.856376453125805,1.0681802279226738,114.92710375166554,45.75114594599682,0.8070068375311674,4.249035212035839,0.10297693823688729,1.0,28.797781180708462
24,0.6033057851239669,0.6425619834710744,1.0732135172241382,0.7239328546861065,1335.0,2177.0,1358.0,2194.0,1346.5719178082193,2185.3390410958905,0.8764432572547579,0.2251074223869318,2.986294764083409,1.098458724872234,0.5492293624361169,1.4824766002497263,0.9389067524115755,2.0,77.10229476016006
25,0.02066115702479339,0.024793388429752067,0.325999573872868,0.08816952201054493,1349.0,10862.0,1355.0,10864.0,1351.3,10862.4,0.16219310146843374,-0.040316437972586903,0.4639593991448431,0.23177361425421747,0.08914369779008366,3.697417956217104,0.8333333333333334,2.0,87.6900382591698
26,0.010330578512396695,0.010330578512396695,0.14083575804390605,0.08131156281817417,1355.0,10859.0,1358.0,10861.0,1356.2,10859.4,0.11468784191000729,0.3217505543966422,0.2366866718721158,0.10163945352271772,0.10163945352271771,1.732050807568877,1.0,2.0,71.56505117707799
27,0.012396694214876033,0.01859504132231405,0.1746335598104072,0.1313520055284894,1369.0,4821.0,1373.0,4824.0,1370.3333333333333,4822.333333333333,0.12563423617139471,-0.29400130177378386,0.20064607101695886,0.14373989364401726,0.08624393618641034,1.329508134327879,0.6666666666666666,2.0,73.1549662370101
28,2.3595041322314048,3.5702479338842976,7.639884296907817,0.4741195114367736,1376.0,1878.0,1438.0,2023.0,1404.6795096322242,1949.6138353765325,1.7332668482155449,-1.202226720688177,18.30992390258998,7.056443043754556,0.3343758487953404,16.11383651720192,0.6608796296296295,2.0,21.117482886714214
29,88.40702479338843,293.4152892561983,34.384768149326256,11.425758573093061,1377.0,1470.0,1856.0,2181.0,1559.49124775059,1968.0553179555493,10.609586231296872,-1.1933723913181615,164.65239724563617,37.58101441723067,2.352438489602195,3.009407903147911,0.3013034018012436,1.0,21.624798590034814
